,MS SubClass,MS Zoning,Street,Alley,Land Contour,Lot Config,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Foundation,Bsmt Qual,Total Bsmt SF,Heating,Central Air,1st Flr SF,Gr Liv Area,Full Bath,Kitchen Qual,TotRms AbvGrd,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Garage Area,Open Porch SF,Misc Feature,Sale Type,House Age,Remod Age,SalePrice
14,20,RL,Pave,None,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7.0,Gable,CompShg,VinylSd,VinylSd,None,3,PConc,4,1351.0,GasA,Y,1361.0,1361.0,2.0,3,6.0,0.0,0,Attchd,2,2.0,610.0,50.0,None,WD ,1.0,1.0,193000.0
16,70,RM,Pave,Grvl,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,5.0,Gable,CompShg,AsbShng,AsbShng,None,2,BrkTil,3,624.0,GasA,N,624.0,1344.0,1.0,2,7.0,0.0,0,Detchd,1,3.0,513.0,0.0,None,COD,92.0,58.0,98000.0
17,20,RL,Pave,None,Lvl,Corner,Sawyer,Feedr,Norm,1Fam,1Story,5.0,Gable,CompShg,VinylSd,VinylSd,None,2,PConc,3,1121.0,GasA,Y,1121.0,1121.0,1.0,2,5.0,0.0,0,Detchd,1,2.0,480.0,80.0,None,WD ,46.0,46.0,139000.0
18,20,RL,Pave,None,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,6.0,Gable,CompShg,Plywood,Plywood,BrkFace,2,CBlock,3,660.0,GasA,Y,1285.0,1285.0,1.0,2,7.0,1.0,3,Attchd,2,2.0,528.0,0.0,None,WD ,30.0,30.0,143500.0
19,60,FV,Pave,None,Lvl,Inside,Somerst,Norm,Norm,1Fam,2Story,7.0,Gable,CompShg,VinylSd,VinylSd,None,2,PConc,4,756.0,GasA,Y,764.0,1547.0,2.0,3,7.0,0.0,0,Attchd,1,2.0,614.0,45.0,None,Con,1.0,1.0,215200.0
21,120,RL,Pave,None,Lvl,Inside,StoneBr,Norm,Norm,TwnhsE,1Story,8.0,Gable,CompShg,CemntBd,CmentBd,None,3,PConc,4,1501.0,GasA,Y,1659.0,1659.0,2.0,4,5.0,1.0,5,Attchd,3,2.0,499.0,59.0,None,WD ,9.0,9.0,278000.0
23,20,RL,Pave,None,Lvl,Inside,Gilbert,Norm,Norm,1Fam,1Story,6.0,Gable,CompShg,HdBoard,HdBoard,None,2,PConc,4,1168.0,GasA,Y,1187.0,1187.0,2.0,2,6.0,0.0,0,Attchd,3,2.0,420.0,21.0,Shed,WD ,18.0,3.0,185000.0
25,20,RL,Pave,None,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,6.0,Hip,CompShg,MetalSd,MetalSd,BrkFace,2,CBlock,3,1453.0,GasA,Y,1453.0,1453.0,2.0,2,6.0,1.0,3,Attchd,2,2.0,530.0,49.0,None,WD ,48.0,48.0,187500.0
26,20,RL,Pave,None,Lvl,Inside,Sawyer,RRAe,Norm,1Fam,1Story,5.0,Gable,CompShg,MetalSd,MetalSd,None,2,CBlock,3,894.0,GasA,Y,894.0,894.0,1.0,2,5.0,1.0,4,Detchd,1,1.0,336.0,144.0,None,WD ,45.0,1.0,138500.0
27,50,RL,Pave,Grvl,HLS,Inside,Crawfor,Norm,Norm,1Fam,1.5Fin,5.0,Gable,CompShg,WdShing,Wd Shng,None,2,CBlock,3,942.0,GasA,Y,1265.0,1938.0,2.0,3,7.0,1.0,4,Detchd,1,1.0,240.0,40.0,None,WD ,71.0,13.0,198000.0
28,190,C (all),Pave,None,Lvl,Inside,IDOTRR,Feedr,Norm,2fmCon,2Story,5.0,Gable,CompShg,VinylSd,VinylSd,None,2,CBlock,3,957.0,GasA,N,1034.0,1991.0,2.0,2,9.0,0.0,0,None,0,0.0,0.0,0.0,None,WD ,112.0,1.0,119600.0
29,50,RL,Pave,None,Lvl,Corner,NAmes,Artery,Norm,1Fam,1.5Fin,5.0,Gable,CompShg,MetalSd,MetalSd,None,2,CBlock,3,672.0,GasA,Y,672.0,924.0,1.0,2,6.0,1.0,1,Detchd,1,2.0,576.0,0.0,Shed,WD ,58.0,1.0,122900.0
30,20,RL,Pave,None,Lvl,Inside,NWAmes,PosN,Norm,1Fam,1Story,8.0,Hip,WdShngl,BrkFace,BrkFace,None,3,PConc,4,2524.0,GasA,Y,2524.0,2524.0,2.0,3,9.0,1.0,4,Attchd,3,2.0,542.0,120.0,None,WD ,28.0,28.0,278000.0
31,70,RL,Pave,None,HLS,Corner,Crawfor,Norm,Norm,1Fam,2Story,8.0,Gable,CompShg,BrkFace,Stucco,None,2,PConc,4,792.0,GasA,Y,792.0,1517.0,1.0,3,7.0,2.0,4,Detchd,1,2.0,400.0,0.0,None,WD ,77.0,56.0,230000.0
32,120,RL,Pave,None,Lvl,CulDSac,Veenker,Norm,Norm,TwnhsE,1Story,8.0,Hip,CompShg,BrkFace,BrkFace,None,3,PConc,4,1494.0,GasA,Y,1494.0,1494.0,1.0,4,6.0,1.0,4,Attchd,3,2.0,481.0,30.0,None,WD ,11.0,10.0,270000.0
33,20,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,6.0,Hip,CompShg,Wd Sdng,Wd Sdng,None,2,CBlock,3,948.0,GasA,Y,948.0,948.0,1.0,2,5.0,0.0,0,Detchd,1,2.0,410.0,48.0,None,WD ,55.0,55.0,125000.0
34,20,RL,Pave,None,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,8.0,Hip,CompShg,VinylSd,VinylSd,Stone,3,PConc,5,1705.0,GasA,Y,1718.0,1718.0,2.0,3,7.0,1.0,4,Attchd,2,3.0,826.0,44.0,None,WD ,2.0,1.0,297000.0
35,20,RL,Pave,None,HLS,Inside,NAmes,Norm,Norm,1Fam,1Story,6.0,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,2,CBlock,4,160.0,GasA,Y,1142.0,1142.0,1.0,2,5.0,1.0,4,Basment,2,1.0,384.0,28.0,None,WD ,51.0,51.0,113500.0
36,160,RM,Pave,None,Lvl,Inside,MeadowV,Norm,Norm,TwnhsE,2Story,5.0,Gable,CompShg,CemntBd,CmentBd,None,2,PConc,3,757.0,GasA,Y,925.0,1475.0,2.0,2,6.0,1.0,3,Attchd,2,1.0,336.0,26.0,None,WD ,29.0,29.0,127000.0
38,20,RL,Pave,None,Lvl,Inside,NWAmes,Norm,Norm,1Fam,1Story,7.0,Hip,CompShg,HdBoard,HdBoard,BrkFace,2,CBlock,3,1242.0,GasA,Y,1242.0,1242.0,1.0,2,6.0,1.0,3,Attchd,1,2.0,528.0,0.0,None,WD ,34.0,34.0,175500.0
39,20,RL,Pave,None,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,5.0,Gable,CompShg,VinylSd,VinylSd,None,2,PConc,4,990.0,GasA,Y,990.0,990.0,1.0,2,5.0,0.0,0,Detchd,1,1.0,384.0,0.0,None,WD ,13.0,13.0,146000.0
40,20,RL,Pave,None,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,5.0,Gable,CompShg,HdBoard,HdBoard,None,3,CBlock,3,1256.0,GasA,Y,1256.0,1256.0,1.0,2,6.0,0.0,0,Attchd,3,1.0,276.0,68.0,None,WD ,43.0,43.0,147500.0
42,85,RL,Pave,None,Lvl,Corner,Mitchel,Norm,Norm,1Fam,SFoyer,5.0,Gable,CompShg,Plywood,Plywood,BrkFace,2,PConc,4,1097.0,GasA,Y,1110.0,1110.0,1.0,3,4.0,1.0,3,Attchd,3,2.0,602.0,30.0,None,WD ,31.0,31.0,165500.0
43,50,RM,Pave,Grvl,Lvl,Inside,OldTown,Norm,Norm,1Fam,1.5Fin,5.0,Gable,CompShg,MetalSd,MetalSd,BrkFace,2,BrkTil,3,1050.0,GasA,N,1050.0,1795.0,2.0,2,7.0,0.0,0,Attchd,1,1.0,352.0,0.0,None,WD ,54.0,54.0,131500.0
44,20,RL,Pave,None,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5.0,Hip,CompShg,HdBoard,HdBoard,None,2,CBlock,3,1040.0,GasA,Y,1040.0,1040.0,1.0,2,5.0,0.0,0,Detchd,1,1.0,384.0,0.0,None,WD ,43.0,43.0,129500.0
46,50,RL,Pave,Grvl,Lvl,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,5.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,2,CBlock,3,984.0,GasA,Y,984.0,1604.0,2.0,2,6.0,0.0,0,Detchd,1,2.0,660.0,68.0,None,WD ,68.0,49.0,117000.0
47,70,RL,Pave,None,HLS,Inside,Crawfor,Norm,Norm,1Fam,2Story,7.0,Gable,CompShg,Stucco,Wd Shng,None,2,BrkTil,4,776.0,GasA,Y,851.0,1502.0,1.0,2,6.0,1.0,4,Attchd,2,1.0,270.0,0.0,None,WD ,77.0,8.0,149000.0
48,20,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5.0,Gable,CompShg,HdBoard,HdBoard,Stone,2,CBlock,3,1056.0,GasA,Y,1063.0,1063.0,1.0,2,6.0,0.0,0,Attchd,2,1.0,280.0,0.0,None,WD ,56.0,56.0,128000.0
49,160,RL,Pave,None,Lvl,Inside,NridgHt,Norm,Norm,Twnhs,2Story,7.0,Gable,CompShg,VinylSd,Wd Shng,Stone,3,PConc,4,764.0,GasA,Y,764.0,1626.0,2.0,3,6.0,0.0,0,BuiltIn,2,2.0,474.0,27.0,None,WD ,5.0,4.0,155000.0
50,160,FV,Pave,None,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,2Story,6.0,Gable,CompShg,MetalSd,MetalSd,BrkFace,3,PConc,4,756.0,GasA,Y,768.0,1524.0,2.0,3,4.0,0.0,0,Detchd,1,2.0,440.0,32.0,None,WD ,6.0,6.0,166000.0
51,50,RL,Pave,None,Lvl,Inside,SWISU,Norm,Norm,1Fam,1.5Fin,4.0,Gable,CompShg,WdShing,Plywood,None,2,BrkTil,3,1122.0,GasA,Y,1328.0,1981.0,2.0,3,7.0,2.0,3,Detchd,1,2.0,576.0,44.0,None,WD ,81.0,59.0,135000.0
52,60,RL,Pave,None,Lvl,Inside,NWAmes,RRAn,Norm,1Fam,2Story,7.0,Gable,CompShg,Plywood,Plywood,BrkFace,2,CBlock,4,1392.0,GasA,Y,1392.0,2784.0,3.0,3,12.0,2.0,3,Attchd,2,2.0,564.0,112.0,TenC,WD ,28.0,28.0,250000.0
54,20,RL,Pave,None,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,6.0,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,2,CBlock,3,216.0,GasA,Y,1575.0,1575.0,1.0,3,5.0,1.0,4,Attchd,1,2.0,400.0,0.0,None,WD ,55.0,55.0,155000.0
55,60,RL,Pave,None,Lvl,Corner,Sawyer,Norm,Norm,1Fam,2Story,6.0,Gable,CompShg,HdBoard,HdBoard,Stone,2,CBlock,3,663.0,GasA,Y,663.0,1352.0,1.0,2,7.0,0.0,0,Attchd,3,1.0,299.0,36.0,None,WD ,41.0,41.0,158000.0
57,20,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5.0,Gable,CompShg,MetalSd,MetalSd,None,2,CBlock,3,936.0,GasA,Y,936.0,936.0,1.0,2,5.0,0.0,0,Attchd,1,1.0,240.0,0.0,None,WD ,52.0,31.0,121000.0
58,20,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,6.0,Hip,CompShg,Wd Sdng,Wd Sdng,None,2,CBlock,3,1040.0,GasA,Y,1040.0,1040.0,1.0,2,6.0,0.0,0,Attchd,3,1.0,293.0,0.0,None,WD ,54.0,54.0,136000.0
59,60,RL,Pave,None,Lvl,Corner,Gilbert,Norm,Norm,1Fam,2Story,6.0,Gable,CompShg,HdBoard,HdBoard,None,2,PConc,4,916.0,GasA,Y,916.0,1636.0,2.0,2,7.0,1.0,3,Attchd,3,2.0,386.0,84.0,None,WD ,12.0,12.0,173000.0
60,60,RL,Pave,None,Lvl,CulDSac,NoRidge,Norm,Norm,1Fam,2Story,8.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,3,PConc,4,1152.0,GasA,Y,1164.0,2270.0,2.0,3,9.0,1.0,4,Attchd,3,3.0,671.0,57.0,None,WD ,11.0,3.0,290000.0
61,60,FV,Pave,None,Lvl,Inside,Somerst,Norm,Norm,1Fam,2Story,8.0,Gable,CompShg,CemntBd,CmentBd,None,3,PConc,4,1184.0,GasA,Y,1184.0,2610.0,2.0,4,11.0,1.0,4,BuiltIn,3,2.0,550.0,364.0,None,New,0.0,0.0,303477.0
62,20,RL,Pave,None,Low,Inside,ClearCr,Norm,Norm,1Fam,1Story,7.0,Hip,CompShg,Wd Sdng,Wd Sdng,None,3,CBlock,4,1420.0,GasA,Y,1483.0,1483.0,1.0,2,4.0,2.0,3,Attchd,2,2.0,690.0,0.0,None,WD ,33.0,9.0,270000.0
63,50,RM,Pave,None,Lvl,Corner,OldTown,Artery,Norm,1Fam,1.5Fin,5.0,Gable,CompShg,WdShing,Wd Shng,None,1,BrkTil,3,936.0,GasA,N,960.0,1740.0,1.0,4,6.0,1.0,4,Detchd,1,1.0,225.0,0.0,None,WD ,88.0,58.0,122250.0
64,20,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5.0,Gable,CompShg,AsbShng,AsbShng,None,2,CBlock,3,1382.0,GasA,Y,1382.0,1382.0,1.0,3,6.0,0.0,0,Attchd,1,1.0,350.0,0.0,None,WD ,54.0,54.0,153000.0
65,20,RL,Pave,None,Lvl,Inside,Mitchel,Feedr,Norm,1Fam,1Story,5.0,Gable,CompShg,VinylSd,VinylSd,None,2,PConc,4,1120.0,GasA,Y,1120.0,1120.0,1.0,2,6.0,0.0,0,None,0,0.0,0.0,30.0,None,New,0.0,0.0,147000.0
66,70,RL,Pave,None,Lvl,Inside,Crawfor,Norm,Norm,1Fam,2Story,7.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,2,BrkTil,4,531.0,GasA,Y,567.0,1098.0,1.0,2,5.0,1.0,4,Detchd,1,1.0,216.0,0.0,None,WD ,77.0,12.0,148500.0
67,160,RM,Pave,None,Lvl,Inside,Edwards,Norm,Norm,TwnhsE,2Story,7.0,Gable,CompShg,VinylSd,VinylSd,Stone,3,PConc,4,976.0,GasA,Y,976.0,1708.0,2.0,3,7.0,0.0,0,Detchd,1,2.0,380.0,40.0,None,WD ,2.0,2.0,130000.0
69,120,RL,Pave,None,Lvl,Inside,Blmngtn,Norm,Norm,TwnhsE,1Story,7.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,3,PConc,4,1362.0,GasA,Y,1506.0,1506.0,2.0,3,6.0,1.0,4,Attchd,3,2.0,440.0,20.0,None,WD ,1.0,1.0,213490.0
70,20,RL,Pave,None,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,7.0,Gable,CompShg,VinylSd,VinylSd,Stone,3,PConc,4,1508.0,GasA,Y,1508.0,1508.0,1.0,3,5.0,2.0,3,Attchd,2,2.0,572.0,0.0,None,Con,1.0,0.0,308030.0
71,20,RL,Pave,None,Lvl,Inside,Mitchel,Norm,Norm,1Fam,1Story,7.0,Gable,CompShg,MetalSd,MetalSd,BrkFace,3,PConc,5,1840.0,GasA,Y,2032.0,2032.0,3.0,3,7.0,0.0,0,Attchd,3,3.0,786.0,46.0,None,WD ,12.0,11.0,300000.0
72,20,RL,Pave,None,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,6.0,Hip,CompShg,BrkFace,BrkFace,None,2,CBlock,3,655.0,GasA,Y,1194.0,1194.0,1.0,2,6.0,1.0,2,BuiltIn,3,2.0,539.0,0.0,None,WD ,47.0,47.0,159500.0
74,20,RL,Pave,None,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,7.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,3,PConc,4,1616.0,GasA,Y,1616.0,1616.0,2.0,3,7.0,0.0,0,Attchd,2,3.0,834.0,59.0,None,WD ,1.0,1.0,232000.0
75,30,RM,Grvl,None,Lvl,Inside,IDOTRR,RRNe,Norm,1Fam,1Story,6.0,Gable,CompShg,Stucco,Wd Shng,None,3,BrkTil,3,768.0,GasA,Y,768.0,768.0,1.0,2,4.0,0.0,0,Detchd,1,2.0,440.0,0.0,None,WD ,78.0,58.0,93850.0
76,30,RL,Pave,None,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5.0,Gable,CompShg,BrkFace,Wd Sdng,Stone,2,BrkTil,3,872.0,GasA,N,872.0,872.0,1.0,1,5.0,1.0,4,Detchd,1,1.0,322.0,0.0,None,WD ,82.0,56.0,105000.0
77,30,RM,Pave,None,Lvl,Inside,BrkSide,Feedr,RRNn,1Fam,1Story,4.0,Gable,CompShg,MetalSd,MetalSd,None,2,BrkTil,3,520.0,GasA,N,520.0,520.0,1.0,1,4.0,0.0,0,Detchd,1,1.0,240.0,0.0,None,WD ,81.0,58.0,68500.0
78,90,RL,Pave,None,Lvl,Corner,NAmes,Feedr,Norm,Duplex,2Story,5.0,Gable,CompShg,MetalSd,MetalSd,BrkFace,2,CBlock,3,1105.0,GasA,Y,1105.0,2274.0,2.0,2,12.0,0.0,0,Detchd,1,2.0,480.0,0.0,None,WD ,50.0,50.0,154300.0
79,50,RM,Pave,None,Lvl,Inside,IDOTRR,Artery,Norm,1Fam,1.5Fin,5.0,Gable,CompShg,VinylSd,VinylSd,None,3,BrkTil,3,936.0,GasA,Y,936.0,1601.0,2.0,2,6.0,0.0,0,None,0,0.0,0.0,0.0,None,WD ,82.0,4.0,129850.0
80,70,RM,Pave,Grvl,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,5.0,Gable,CompShg,MetalSd,MetalSd,None,2,BrkTil,3,616.0,GasA,Y,616.0,1232.0,1.0,2,6.0,0.0,0,Detchd,1,2.0,480.0,0.0,None,WD ,97.0,57.0,114000.0
81,20,RL,Pave,None,Lvl,CulDSac,StoneBr,Norm,Norm,1Fam,1Story,9.0,Hip,CompShg,VinylSd,VinylSd,Stone,4,PConc,5,2216.0,GasA,Y,2234.0,2234.0,2.0,4,9.0,1.0,4,Attchd,3,3.0,1166.0,60.0,None,New,1.0,0.0,501837.0
83,20,RL,Pave,None,Lvl,FR2,NAmes,Norm,Norm,1Fam,1Story,4.0,Gable,CompShg,VinylSd,VinylSd,None,2,CBlock,3,864.0,GasA,Y,864.0,864.0,1.0,2,5.0,0.0,0,Detchd,1,2.0,576.0,0.0,None,WD ,38.0,3.0,130000.0
84,120,RM,Pave,None,Lvl,FR2,Mitchel,Norm,Norm,TwnhsE,1Story,6.0,Hip,CompShg,VinylSd,VinylSd,BrkFace,2,PConc,5,1189.0,GasA,Y,1189.0,1189.0,2.0,2,4.0,0.0,0,Attchd,2,2.0,392.0,122.0,None,WD ,11.0,11.0,160500.0
85,120,RL,Pave,None,Lvl,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,9.0,Hip,CompShg,MetalSd,MetalSd,BrkFace,4,PConc,5,1666.0,GasA,Y,1666.0,1666.0,2.0,3,6.0,1.0,4,Attchd,2,2.0,575.0,75.0,None,New,0.0,0.0,310090.0
86,20,RL,Pave,None,Lvl,Inside,SawyerW,Norm,Norm,1Fam,1Story,7.0,Gable,CompShg,VinylSd,VinylSd,None,3,PConc,4,1176.0,GasA,Y,1200.0,1200.0,2.0,3,5.0,0.0,0,Attchd,2,2.0,555.0,41.0,None,WD ,6.0,6.0,184900.0
87,20,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5.0,Hip,CompShg,Wd Sdng,Wd Sdng,None,2,CBlock,4,928.0,GasA,Y,928.0,928.0,1.0,2,4.0,0.0,0,Attchd,1,1.0,252.0,0.0,None,WD ,51.0,7.0,132000.0
88,20,RL,Pave,None,Lvl,Inside,NWAmes,Feedr,Norm,1Fam,1Story,5.0,Gable,CompShg,HdBoard,HdBoard,BrkFace,2,CBlock,4,1288.0,GasA,Y,1336.0,1336.0,2.0,2,6.0,1.0,2,Attchd,2,2.0,502.0,11.0,Shed,WD ,40.0,40.0,163000.0
89,160,FV,Pave,Pave,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,2Story,7.0,Gable,CompShg,MetalSd,MetalSd,BrkFace,3,PConc,4,600.0,GasA,Y,600.0,1200.0,2.0,3,4.0,0.0,0,Detchd,2,2.0,480.0,172.0,None,ConLD,6.0,6.0,155000.0
90,80,RL,Pave,None,Lvl,Inside,NWAmes,Norm,Norm,1Fam,SLvl,6.0,Gable,CompShg,MetalSd,MetalSd,None,2,CBlock,3,1427.0,GasA,Y,1427.0,1427.0,2.0,2,7.0,0.0,0,Attchd,2,2.0,516.0,0.0,None,WD ,39.0,39.0,183000.0
91,60,RL,Pave,None,Lvl,Corner,CollgCr,Norm,Norm,1Fam,2Story,7.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,3,PConc,4,860.0,GasA,Y,1212.0,1992.0,2.0,3,7.0,2.0,3,Attchd,2,2.0,608.0,32.0,None,WD ,11.0,5.0,211000.0
92,60,RL,Pave,None,Lvl,Inside,SawyerW,RRAe,Norm,1Fam,2Story,7.0,Gable,CompShg,VinylSd,VinylSd,None,3,PConc,4,754.0,GasA,Y,754.0,1540.0,2.0,3,6.0,0.0,0,Attchd,2,2.0,495.0,32.0,None,WD ,15.0,15.0,184000.0
93,90,RL,Pave,None,Bnk,Inside,SawyerW,Norm,Norm,Duplex,1Story,5.0,Gable,CompShg,HdBoard,HdBoard,None,2,Slab,0,0.0,GasA,Y,1535.0,1535.0,2.0,2,8.0,0.0,0,Attchd,1,2.0,400.0,0.0,None,WD ,30.0,30.0,118858.0
94,80,RL,Pave,None,Lvl,Corner,NAmes,Norm,Norm,1Fam,SLvl,5.0,Hip,CompShg,Wd Sdng,HdBoard,BrkFace,2,PConc,3,1152.0,GasA,Y,1152.0,1152.0,1.0,2,6.0,1.0,4,Attchd,2,2.0,484.0,0.0,None,WD ,46.0,46.0,180500.0
95,120,FV,Pave,Pave,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,1Story,8.0,Gable,CompShg,VinylSd,VinylSd,Stone,3,PConc,4,1141.0,GasA,Y,1151.0,1151.0,2.0,3,5.0,0.0,0,Attchd,3,2.0,484.0,60.0,None,New,1.0,0.0,166000.0
96,80,RL,Pave,None,Lvl,Inside,Sawyer,Norm,Norm,1Fam,SLvl,6.0,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,2,CBlock,3,1138.0,GasA,Y,1138.0,1138.0,1.0,2,6.0,1.0,3,Attchd,2,2.0,480.0,0.0,None,COD,49.0,49.0,148000.0
97,20,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5.0,Hip,CompShg,Wd Sdng,Wd Sdng,None,2,CBlock,3,894.0,GasA,Y,1074.0,1074.0,1.0,3,6.0,1.0,4,Detchd,1,2.0,396.0,72.0,None,WD ,51.0,51.0,124000.0
98,120,RL,Pave,None,Lvl,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,9.0,Hip,CompShg,MetalSd,MetalSd,BrkFace,4,PConc,5,1561.0,GasA,Y,1561.0,1561.0,2.0,4,6.0,1.0,4,Attchd,3,2.0,556.0,47.0,None,WD ,2.0,2.0,277500.0
99,60,RL,Pave,None,Lvl,Inside,NoRidge,Norm,Norm,1Fam,2Story,8.0,Hip,CompShg,VinylSd,VinylSd,BrkFace,3,PConc,4,1342.0,GasA,Y,1358.0,2726.0,2.0,3,9.0,1.0,5,Attchd,2,3.0,725.0,169.0,None,WD ,11.0,11.0,350000.0
100,20,RL,Pave,None,HLS,CulDSac,StoneBr,Norm,Norm,1Fam,1Story,9.0,Hip,CompShg,VinylSd,VinylSd,BrkFace,4,PConc,5,1884.0,GasA,Y,1884.0,1884.0,2.0,4,7.0,1.0,4,Attchd,3,3.0,670.0,76.0,None,WD ,4.0,4.0,387000.0
